"Points:0","Points:1","Points:2","U:0","U:1","U:2","k","nut","omega","p","pointDisplacement:0","pointDisplacement:1","pointDisplacement:2"
0.50458,-0.076524,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50448,-0.077485,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50438,-0.078439,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50428,-0.079384,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50417,-0.08032,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50407,-0.081247,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50397,-0.082166,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50387,-0.083075,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50377,-0.083975,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50367,-0.084865,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50357,-0.085745,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50347,-0.086615,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50337,-0.087475,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50327,-0.088324,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50318,-0.089162,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50308,-0.08999,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50298,-0.090806,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50289,-0.091611,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50279,-0.092404,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5027,-0.093185,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50261,-0.093955,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50252,-0.094712,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50242,-0.095456,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50233,-0.096188,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50225,-0.096907,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50216,-0.097612,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50207,-0.098305,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50199,-0.098983,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5019,-0.099648,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50182,-0.1003,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50174,-0.10094,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50166,-0.10156,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50158,-0.10217,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5015,-0.10276,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50143,-0.10334,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50135,-0.1039,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50128,-0.10445,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50121,-0.10498,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50114,-0.10549,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50108,-0.10599,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50101,-0.10647,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50095,-0.10694,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50089,-0.10739,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50083,-0.10782,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50078,-0.10823,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50072,-0.10863,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50067,-0.10901,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50062,-0.10937,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50058,-0.10972,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50053,-0.11004,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50049,-0.11035,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50045,-0.11064,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50041,-0.1109,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50038,-0.11115,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50034,-0.11138,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50032,-0.11159,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50029,-0.11179,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50027,-0.11196,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50024,-0.11211,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50023,-0.11224,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50021,-0.11234,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5002,-0.11243,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5,-0.1125,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
